year,mean_days,burned_ratio,mean_intensity,mean_aerosol,fips,name,n_hospital_beds_2017,n_hospitals_2017,n_active_mds_2017,n_medicare_bene_2017,n_medicare_eligible_2018,p_poverty,n_pop_2018,p65older,p5younger,p_nonwhite,p_white,ed_rate
2015,1,0.00526692,355.363691,140.4607315,06001,Alameda,3377,17,5559,103501,253144,10.894365646739098,1666753,13.829883612028896,11.527862856704022,67.12506292174065,32.87493707825935,64.3
2016,1,2.21e-4,57.73381295,147.356576,06001,Alameda,3377,17,5559,103501,253144,10.894365646739098,1666753,13.829883612028896,11.527862856704022,67.12506292174065,32.87493707825935,57.8
2017,1,2.06e-5,489,150.4195808,06001,Alameda,3377,17,5559,103501,253144,10.894365646739098,1666753,13.829883612028896,11.527862856704022,67.12506292174065,32.87493707825935,56.3
2018,1,4.97e-4,88.06389776,168.9814194,06001,Alameda,3377,17,5559,103501,253144,10.894365646739098,1666753,13.829883612028896,11.527862856704022,67.12506292174065,32.87493707825935,48.6
2019,1.05894021,0.005605235,189.3142533,139.4508239,06001,Alameda,3377,17,5559,103501,253144,10.894365646739098,1666753,13.829883612028896,11.527862856704022,67.12506292174065,32.87493707825935,45.8
2020,2.117226442,0.053533252,1010.211773,194.9025987,06001,Alameda,3377,17,5559,103501,253144,10.894365646739098,1666753,13.829883612028896,11.527862856704022,67.12506292174065,32.87493707825935,NA
2015,1.377358491,0.047424131,1719.95173,160.9993895,06003,Alpine,0,0,1,213,281,20.982142857142858,1101,25.431425976385103,7.266121707538601,34.78655767484105,65.21344232515894,0
2016,2.5,0.002684385,745.3333333,131.1802393,06003,Alpine,0,0,1,213,281,20.982142857142858,1101,25.431425976385103,7.266121707538601,34.78655767484105,65.21344232515894,NA
2017,2.745057571,0.016151926,839.2095318,165.581059,06003,Alpine,0,0,1,213,281,20.982142857142858,1101,25.431425976385103,7.266121707538601,34.78655767484105,65.21344232515894,0
2018,2.948770165,0.043939694,533.1868571,180.6933107,06003,Alpine,0,0,1,213,281,20.982142857142858,1101,25.431425976385103,7.266121707538601,34.78655767484105,65.21344232515894,NA
2019,1.038753159,0.006247774,752.6248245,131.1131146,06003,Alpine,0,0,1,213,281,20.982142857142858,1101,25.431425976385103,7.266121707538601,34.78655767484105,65.21344232515894,NA
2020,3.559836427,0.04376249,2470.280832,243.3109547,06003,Alpine,0,0,1,213,281,20.982142857142858,1101,25.431425976385103,7.266121707538601,34.78655767484105,65.21344232515894,NA
2015,1.37529425,0.019161787,1062.608,129.7038439,06005,Amador,52,1,56,7926,11896,9.22694558069694,39383,26.99895894167534,8.130411598913236,21.128405657263286,78.87159434273671,58.4
