GEOID,mean,year
6091,0.004786009,2010
6009,0.006074237,2010
6043,4.53E-04,2010
6105,0.004041086,2010
6027,7.69E-04,2010
6051,0.002217359,2010
6003,0.007605757,2010
6011,0.025757184,2010
6049,0.001499856,2010
6005,0.005477251,2010
6063,0.004589722,2010
6093,0.004913436,2010
6021,0.019674006,2010
6029,0.006573437,2010
6007,0.014253627,2010
6033,0.001966395,2010
6015,4.99E-04,2010
6025,0.011189344,2010
6023,0.003437041,2010
6053,0.008801942,2010
6073,0.004915299,2010
6079,0.002292507,2010
6083,9.65E-04,2010
6109,0.008457499,2010
6035,0.007859571,2010
6045,0.001114593,2010
6019,0.010079593,2010
6039,0.005975201,2010
6111,0.00855394,2010
6071,3.99E-04,2010
6065,0.004061307,2010
6047,0.011057092,2010
6099,0.006708917,2010
6103,0.003356327,2010
6089,0.003798007,2010
6067,0.007520761,2010
6061,0.011139763,2010
6017,0.008000816,2010
6113,0.014619645,2010
6057,0.001482066,2010
6115,0.013935874,2010
6101,0.043324222,2010
6055,0.003737701,2010
6069,4.77E-04,2010
6085,0.003305065,2010
6087,0.003827474,2010
6097,0.00594035,2010
6077,0.013446177,2010
6095,0.011618227,2010
6031,0.004155838,2010
6107,0.009719246,2010
6059,0.001256531,2010
6037,0.007972153,2010
6013,0.001043201,2010
6001,7.13E-04,2010
6075,0,2010
6081,0,2010
6041,1.90E-04,2010
6091,0.016422316,2011
6009,0.005143983,2011
6043,0.012568843,2011
6105,0.004998892,2011
6027,0.002979933,2011
6051,0.001795005,2011
6003,0,2011
6011,0.034108954,2011
6049,0.004872907,2011
6005,0.009768839,2011
6063,0.001018278,2011
6093,0.002641612,2011
6021,0.013384445,2011
6029,0.013251008,2011
6007,0.020270601,2011
6033,0.001248582,2011
6015,0,2011
6025,0.013816934,2011
6023,0.002373195,2011
6053,0.011287196,2011
6073,0.009662945,2011
6079,0.001558905,2011
6083,0.00184179,2011
6109,0.008270507,2011
6035,0.002721774,2011
6045,0.002653873,2011
6019,0.005513616,2011
6039,0.011850101,2011
6111,0.008253802,2011
6071,8.06E-04,2011
6065,0.003861761,2011
6047,0.009698443,2011
6099,0.006190532,2011
6103,0.005148946,2011
6089,0.002606562,2011
6067,0.004101996,2011
6061,0.002582116,2011
6017,0.017654085,2011
6113,0.011716841,2011
6057,0.004995456,2011
6115,0.024850557,2011
6101,0.038493572,2011
6055,0.015142143,2011
6069,5.97E-04,2011
6085,2.54E-04,2011
6087,1.16E-04,2011
6097,0.002253871,2011
6077,0.016244462,2011
6095,0.006232523,2011
6031,0.003525542,2011
6107,0.014404663,2011
6059,0,2011
6037,0.002147298,2011
6013,0.003786255,2011
6001,0.006177036,2011
6075,0,2011
6081,0,2011
6041,0,2011
6091,0.002759598,2012
6009,0.009524454,2012
6043,0.003400469,2012
6105,0.006887253,2012
6027,0.001101279,2012
6051,0.003695599,2012
6003,0.001766781,2012
6011,0.132102148,2012
6049,0.022137504,2012
6005,0.011012497,2012
6063,0.062954868,2012
6093,0.014684552,2012
6021,0.018505749,2012
6029,0.008546551,2012
6007,0.00881506,2012
6033,0.013516028,2012
6015,0,2012
6025,0.007496351,2012
6023,0.001800355,2012
6053,0.006805454,2012
6073,0.022450415,2012
6079,0.005007915,2012
6083,0.003015651,2012
6109,0.008054924,2012
6035,0.05445145,2012
6045,0.020898617,2012
6019,0.011498672,2012
6039,0.005110552,2012
6111,0.011555322,2012
6071,5.91E-04,2012
6065,0.003403516,2012
6047,0.007538926,2012
6099,0.006129495,2012
6103,0.023028559,2012
6089,0.052399911,2012
6067,0.007742844,2012
6061,0.005541278,2012
6017,0.009067008,2012
6113,0.015537191,2012
6057,6.82E-04,2012
6115,0.006668849,2012
6101,0.029562636,2012
6055,0.003785536,2012
6069,7.28E-04,2012
6085,2.54E-04,2012
6087,0.004882442,2012
6097,8.16E-04,2012
6077,0.011305292,2012
6095,0.006013989,2012
6031,0.00761779,2012
6107,0.007305619,2012
6059,7.78E-04,2012
6037,0.005524836,2012
6013,0.002838478,2012
6001,0.001057831,2012
6075,0,2012
6081,0,2012
6041,2.61E-04,2012
6091,0.003449498,2013
6009,0.00385642,2013
6043,0.022131049,2013
6105,0.004087044,2013
6027,0.001198451,2013
6051,0,2013
6003,0.001342192,2013
6011,0.049856817,2013
6049,0.010814752,2013
6005,0.012597678,2013
6063,0.003429962,2013
6093,0.015592831,2013
6021,0.019031514,2013
6029,0.004405432,2013
6007,0.019873869,2013
6033,0.005743479,2013
6015,0.003784847,2013
6025,0.004644267,2013
6023,0.012696836,2013
6053,0.010210253,2013
6073,0.006149147,2013
6079,0.002806748,2013
6083,0.001613071,2013
6109,0.185714433,2013
6035,0.001964961,2013
6045,0.002816026,2013
6019,0.019979611,2013
6039,0.015593892,2013
6111,0.031289117,2013
6071,0.001334041,2013
6065,0.016006842,2013
6047,0.010001314,2013
6099,0.011121637,2013
6103,0.015169596,2013
6089,0.004335697,2013
6067,0.016200271,2013
