GEOID,mean,year
6091,1,2010
6009,1,2010
6043,1,2010
6105,1.030696457,2010
6027,1.26846192,2010
6051,1.142857143,2010
6003,1.823529412,2010
6011,1.011117893,2010
6049,1.052631579,2010
6005,1,2010
6063,1.41517421,2010
6093,1.127659574,2010
6021,1.177992721,2010
6029,1.084148823,2010
6007,1.041668936,2010
6033,1,2010
6015,1,2010
6025,1.075877602,2010
6023,1.214285714,2010
6053,1.13,2010
6073,1.05957248,2010
6079,1,2010
6083,1,2010
6109,1.672413793,2010
6035,1.080359957,2010
6045,1.153614458,2010
6019,2.008426076,2010
6039,1.096673071,2010
6111,1.333333333,2010
6071,1.476116384,2010
6065,1.156613292,2010
6047,1.045454545,2010
6099,1.092772937,2010
6103,1.066762665,2010
6089,1.063613685,2010
6067,1.044293903,2010
6061,1.01984127,2010
6017,1.02321136,2010
6113,1.006702646,2010
6057,1,2010
6115,1,2010
6101,1.034258392,2010
6055,1,2010
6069,1,2010
6085,1,2010
6087,1,2010
6097,1.031618103,2010
6077,1.331253814,2010
6095,1.220888504,2010
6031,1.114761476,2010
6107,1.084519499,2010
6059,1,2010
6037,1,2010
6013,1,2010
6001,1,2010
6075,0,2010
6081,0,2010
6041,1,2010
6091,1.189044481,2011
6009,1.37289788,2011
6043,1.548380252,2011
6105,1.319339354,2011
6027,1.076086957,2011
6051,1.058823529,2011
6003,0,2011
6011,1.069272051,2011
6049,1.145797599,2011
6005,1.097845207,2011
6063,1,2011
6093,1.348335532,2011
6021,1.032685966,2011
6029,1.06741006,2011
6007,1.009766747,2011
6033,1,2011
6015,0,2011
6025,1.065116669,2011
6023,1.034482759,2011
6053,1.007798165,2011
6073,1.128787879,2011
6079,1,2011
6083,1,2011
6109,1.239300283,2011
6035,1.154701719,2011
6045,1.258064516,2011
6019,1.090056506,2011
6039,1.130022435,2011
6111,1.236363636,2011
6071,1.204392433,2011
6065,1.117647059,2011
6047,1,2011
6099,1.035411748,2011
6103,1.130557215,2011
6089,1.033103985,2011
6067,1,2011
6061,1.256797583,2011
6017,1.212986263,2011
6113,1,2011
6057,1,2011
6115,1.062210295,2011
6101,1.014147018,2011
6055,1,2011
6069,1,2011
6085,1,2011
6087,1,2011
6097,1.083333333,2011
6077,1.042938931,2011
6095,1.117647059,2011
6031,1.067639257,2011
6107,2.15009837,2011
6059,0,2011
6037,1,2011
6013,1,2011
6001,1,2011
6075,0,2011
6081,0,2011
6041,0,2011
6091,1,2012
6009,1.517441095,2012
6043,2.333333333,2012
6105,1.391520019,2012
6027,1.058823529,2012
6051,1.028571429,2012
6003,1.382323734,2012
6011,1.424005169,2012
6049,1.578582316,2012
6005,1,2012
6063,2.848534048,2012
6093,2.255615985,2012
6021,1.023587406,2012
6029,1.019002906,2012
6007,1.032939933,2012
6033,1.116794667,2012
6015,0,2012
6025,1.029560648,2012
6023,1,2012
6053,1.025867316,2012
6073,1.146731625,2012
6079,1.018311073,2012
6083,1.116332117,2012
6109,1.18216669,2012
6035,1.189140697,2012
6045,1.945044177,2012
6019,1.149472219,2012
6039,1.060297943,2012
6111,1.233766234,2012
6071,1.461415647,2012
6065,1.163796262,2012
6047,1.022222222,2012
6099,1,2012
6103,1.49201534,2012
6089,2.34239348,2012
6067,1.043023452,2012
6061,1.319099015,2012
6017,1,2012
6113,1.062658694,2012
6057,1,2012
6115,1,2012
6101,1.073900166,2012
6055,1.111111111,2012
6069,1,2012
6085,1,2012
6087,1,2012
6097,1,2012
6077,1.082264699,2012
6095,1.060961033,2012
6031,1.062607415,2012
6107,1.073540227,2012
6059,1.325704225,2012
6037,1.392385585,2012
6013,1,2012
6001,1,2012
6075,0,2012
6081,0,2012
6041,1,2012
6091,1.1,2013
6009,1,2013
6043,2.255844782,2013
6105,1.376256344,2013
6027,1.027027027,2013
6051,0,2013
6003,1,2013
6011,1.074668889,2013
6049,1.671532847,2013
6005,1,2013
6063,1.074074074,2013
6093,2.05075655,2013
6021,1.0525719,2013
6029,1.092164233,2013
6007,1.103015861,2013
6033,1.043478261,2013
6015,1,2013
6025,1.102538514,2013
6023,3.250862409,2013
6053,1.103448276,2013
6073,1.142857143,2013
6079,1.032671365,2013
6083,1,2013
6109,2.585141587,2013
6035,1.071428571,2013
6045,1.212804006,2013
6019,1.61056245,2013
6039,1.252906076,2013
6111,1.10551658,2013
6071,1.670064609,2013
6065,1.303955834,2013
6047,1.067003876,2013
6099,1.039421813,2013
6103,1.096014598,2013
6089,1.039803325,2013
6067,1,2013
6061,2.871125355,2013
6017,1.051276895,2013
6113,1.134974196,2013
6057,1,2013
6115,1.09233488,2013
6101,1.049047603,2013
6055,1,2013
6069,1.147058824,2013
6085,1,2013
6087,1.031463748,2013
6097,1.124450952,2013
6077,1.202497022,2013
6095,1,2013
6031,1,2013
6107,1.224701535,2013
6059,1,2013
6037,1.175747597,2013
6013,1,2013
6001,1,2013
6075,0,2013
6081,1.192272309,2013
6041,0,2013
6091,1,2014
6009,1.030909091,2014
6043,1.30315706,2014
6105,1.582342296,2014
6027,0,2014
6051,1,2014
6003,0,2014
6011,1.039185489,2014
6049,1.280982629,2014
6005,1,2014
6063,1.027027027,2014
6093,2.293169866,2014
6021,1.086785298,2014
6029,1.338468345,2014
6007,1.189363647,2014
6033,1.079954013,2014
6015,1,2014
6025,1.032295023,2014
6023,1,2014
6053,1.06779661,2014
6073,1,2014
6079,1,2014
6083,1.235294118,2014
6109,1.129625864,2014
6035,1.130758516,2014
6045,1.340425532,2014
6019,1.150677884,2014
6039,1.417561773,2014
6111,1.027777778,2014
6071,1.886363636,2014
6065,1.072418572,2014
6047,1.047987165,2014
6099,1.045214521,2014
6103,1.147041864,2014
6089,1.447004199,2014
6067,1,2014
6061,1.388526616,2014
6017,1.603630263,2014
6113,1.014161946,2014
6057,1,2014
6115,1.168302136,2014
6101,1.087194765,2014
6055,1.216702719,2014
6069,1,2014
6085,1,2014
6087,0,2014
6097,1.125,2014
6077,1.079765396,2014
6095,1,2014
6031,1.208295142,2014
6107,1.341673155,2014
6059,1.167596439,2014
6037,1.078431373,2014
6013,1,2014
6001,1,2014
6075,0,2014
6081,0,2014
6041,1,2014
6091,1,2015
6009,1.228252151,2015
6043,1.266666667,2015
6105,2.379362486,2015
6027,0,2015
6051,1.16344542,2015
6003,1.377358491,2015
6011,1.106243963,2015
6049,1.193158713,2015
6005,1.37529425,2015
6063,1.2,2015
6093,1.137098551,2015
6021,1.158872318,2015
6029,1.145016824,2015
6007,1.04,2015
6033,1.319457789,2015
6015,2.090231353,2015
6025,1.068594486,2015
6023,2.205854724,2015
6053,1.139240506,2015
6073,1.209742277,2015
6079,1.216216216,2015
6083,1.571428571,2015
6109,1.239796878,2015
6035,1.173792955,2015
6045,1,2015
6019,2.139414771,2015
6039,1.27756845,2015
6111,1.192307692,2015
6071,1.974847647,2015
6065,1.254186603,2015
6047,1,2015
6099,1.042749371,2015
6103,1,2015
6089,1.226371776,2015
6067,1.033255086,2015
6061,1.030717286,2015
6017,1.263503992,2015
6113,1.517495793,2015
6057,1.166955517,2015
6115,1,2015
6101,1,2015
6055,1.009512066,2015
6069,1,2015
6085,1,2015
6087,1,2015
6097,1,2015
6077,1.206123068,2015
6095,1.236500987,2015
6031,1.002035831,2015
6107,1.331746759,2015
6059,1,2015
6037,1,2015
6013,1,2015
6001,1,2015
6075,0,2015
6081,0,2015
6041,0,2015
6091,1,2016
6009,1.1875,2016
6043,1.80055788,2016
6105,1,2016
6027,1.105263158,2016
6051,1.165517241,2016
6003,2.5,2016
6011,1.057865774,2016
6049,1.19047619,2016
6005,1,2016
6063,1.291666667,2016
6093,1.963855422,2016
6021,1.065758434,2016
6029,1.384231354,2016
6007,1.087359365,2016
6033,1.254152824,2016
6015,1,2016
6025,1,2016
6023,1,2016
6053,2.343978306,2016
6073,1.24832146,2016
6079,1.673477784,2016
6083,1.543319377,2016
6109,1.074823944,2016
6035,1.015278711,2016
6045,1.3,2016
6019,1.09613246,2016
6039,1.110272977,2016
6111,1.602409639,2016
6071,1.265269728,2016
6065,1.042713568,2016
6047,1.094700214,2016
6099,1.062452039,2016
6103,1.137931034,2016
6089,1.128451279,2016
6067,1,2016
6061,1.056342302,2016
6017,1.464332874,2016
6113,1.039408867,2016
6057,1.600470958,2016
6115,1,2016
6101,1.157938201,2016
6055,1,2016
6069,1,2016
6085,1.633704735,2016
6087,1.187103988,2016
6097,1,2016
6077,1.112653834,2016
6095,1.096369637,2016
6031,1.517859276,2016
6107,1.543110629,2016
6059,1,2016
6037,1.472067039,2016
6013,1,2016
6001,1,2016
6075,0,2016
6081,0,2016
6041,1,2016
6091,1,2017
6009,1.169042095,2017
6043,1.707989277,2017
6105,2.154533796,2017
6027,1,2017
6051,1.271841593,2017
6003,2.745057571,2017
6011,1.169270907,2017
6049,1.379024678,2017
6005,1,2017
6063,1.701149425,2017
6093,2.785360114,2017
6021,1.058176675,2017
6029,1.158264759,2017
6007,1.137584326,2017
6033,1.239130435,2017
6015,2.103031461,2017
6025,1.023198544,2017
6023,1,2017
6053,1,2017
6073,1.051408699,2017
6079,1.029609143,2017
6083,1.620426005,2017
6109,1.569322255,2017
6035,1.035232073,2017
6045,1.226950355,2017
6019,1.233460373,2017
6039,1.582848237,2017
6111,1.615306698,2017
6071,1.32800441,2017
6065,1.102478232,2017
6047,1.189948893,2017
6099,1.210528676,2017
6103,1.311688312,2017
6089,1.475081509,2017
6067,1.008117777,2017
6061,1,2017
6017,1.367072469,2017
6113,1.137203166,2017
6057,1,2017
6115,1.1241395,2017
6101,1.124802632,2017
6055,1.369799772,2017
6069,1,2017
6085,1,2017
