year,mean_days,burned_ratio,mean_intensity,mean_aerosol,upd_geoid
2010,1,7.13e-4,129.6191537,136.7280639,06001
2011,1,0.006177036,341.645153,142.1718551,06001
2012,1,0.001057831,139.039039,133.263767,06001
2013,1,0.001024476,315.4651163,130.7517779,06001
2014,1,8.75e-4,162,143.7013386,06001
2015,1,0.00526692,355.363691,140.4607315,06001
2016,1,2.21e-4,57.73381295,147.356576,06001
2017,1,2.06e-5,489,150.4195808,06001
2018,1,4.97e-4,88.06389776,168.9814194,06001
2019,1.05894021,0.005605235,189.3142533,139.4508239,06001
2020,2.117226442,0.053533252,1010.211773,194.9025987,06001
2010,1.823529412,0.007605757,412.6372549,126.5781569,06003
2011,0,0,0,140.8463552,06003
2012,1.382323734,0.001766781,281.9076465,120.4504385,06003
2013,1,0.001342192,375.3333333,203.4077556,06003
2014,0,0,0,140.5094028,06003
2015,1.377358491,0.047424131,1719.95173,160.9993895,06003
2016,2.5,0.002684385,745.3333333,131.1802393,06003
2017,2.745057571,0.016151926,839.2095318,165.581059,06003
2018,2.948770165,0.043939694,533.1868571,180.6933107,06003
2019,1.038753159,0.006247774,752.6248245,131.1131146,06003
2020,3.559836427,0.04376249,2470.280832,243.3109547,06003
2010,1,0.005477251,64.8,113.4378204,06005
2011,1.097845207,0.009768839,215.9364556,122.9907635,06005
2012,1,0.011012497,331.9923932,115.3821724,06005
2013,1,0.012597678,669.0434783,133.6947936,06005
2014,1,0.00493597,586.6362054,123.1165319,06005
2015,1.37529425,0.019161787,1062.608,129.7038439,06005
2016,1,0.003073704,111.2683438,129.2672936,06005
2017,1,4.49e-4,263.3062201,142.9545419,06005
2018,1.279202279,0.013570695,248.4591643,165.0270917,06005
2019,1.438643371,0.010449736,399.6112025,119.6815736,06005
2020,1.339434276,0.006454565,355.484193,205.6524706,06005
2010,1.041668936,0.014253627,306.2027071,132.7112156,06007
2011,1.009766747,0.020270601,425.7865487,136.6049975,06007
2012,1.032939933,0.00881506,277.3059421,150.2959631,06007
2013,1.103015861,0.019873869,283.6131729,130.8293847,06007
2014,1.189363647,0.013591372,194.9273249,133.7612263,06007
2015,1.04,0.009898892,302.52,144.3146961,06007
2016,1.087359365,0.00821181,252.5037345,139.3650007,06007
2017,1.137584326,0.048106284,956.4558439,163.5802329,06007
2018,1.606001813,0.183274678,3992.956204,208.3015292,06007
2019,1.346424602,0.025145514,307.3749923,132.3331598,06007
2020,1.534235919,0.150307099,6803.129855,238.6706852,06007
2010,1,0.006074237,459.3157895,113.1562547,06009
2011,1.37289788,0.005143983,324.6882769,121.6142739,06009
2012,1.517441095,0.009524454,768.5137335,109.55846,06009
2013,1,0.00385642,316.4691157,131.6817022,06009
2014,1.030909091,0.010343129,410.9314545,114.6886053,06009
2015,1.228252151,0.092221842,2230.95676,123.9328143,06009
2016,1.1875,0.010230294,261.8125,129.3557817,06009
2017,1.169042095,0.003782451,196.6904209,140.3407763,06009
2018,1.088669111,0.014704795,229.0743883,162.5876393,06009
2019,1,0.005768331,151.1173658,112.5360609,06009
2020,1.130007283,0.017213473,242.078842,208.382432,06009
2010,1.011117893,0.025757184,370.0544123,128.6867666,06011
2011,1.069272051,0.034108954,344.0615185,133.0772755,06011
2012,1.424005169,0.132102148,2488.393178,138.2787116,06011
2013,1.074668889,0.049856817,455.701651,125.7335083,06011
2014,1.039185489,0.026251305,330.9681939,132.2183723,06011
2015,1.106243963,0.059297899,1002.70257,145.2278806,06011
2016,1.057865774,0.019795164,187.9647416,137.0305551,06011
2017,1.169270907,0.039600436,382.8382795,162.0588555,06011
2018,1.841436896,0.145117747,3836.471065,243.085131,06011
2019,1.156090333,0.043958808,347.1468552,132.7542446,06011
2020,1.674155076,0.033705796,218.0754143,213.6477386,06011
2010,1,0.001043201,98.35968992,131.3436099,06013
2011,1,0.003786255,279.8163178,137.08677,06013
2012,1,0.002838478,415.9065527,126.6638955,06013
2013,1,0.014119611,939.661512,128.2636771,06013
2014,1,0.001169356,174.3443983,133.0770747,06013
2015,1,0.007109944,190.676979,134.6328348,06013
2016,1,0.001835711,73.08546256,138.5318143,06013
2017,1.222222222,0.003711856,128.5,149.1390552,06013
2018,1,0.002886999,66.14285714,173.556011,06013
2019,1.073998839,0.005573445,107.275682,131.6729205,06013
2020,1.159591113,0.015505694,1343.581725,197.8556301,06013
2010,1,4.99e-4,129.3312102,149.8357486,06015
2011,0,0,0,144.2423227,06015
2012,0,0,0,163.3880441,06015
2013,1,0.003784847,197.5,153.4504298,06015
2014,1,2.7e-4,390,182.8634159,06015
2015,2.090231353,0.056456768,624.892497,196.7731364,06015
2016,1,1.36e-4,209,144.2355434,06015
2017,2.103031461,0.03885458,1030.444865,261.7958101,06015
2018,2.006673665,0.014138576,392.6432326,223.5899957,06015
2019,1,5.41e-4,148,142.247726,06015
2020,1.663238773,0.045258075,1431.353456,225.9913553,06015
2010,1.02321136,0.008000816,311.8095303,112.107009,06017
2011,1.212986263,0.017654085,569.9519203,122.8350723,06017
2012,1,0.009067008,254.5833735,114.0870845,06017
2013,1.051276895,0.007243411,341.7873014,135.5240692,06017
2014,1.603630263,0.069893162,2412.032813,132.4414091,06017
2015,1.263503992,0.015504949,586.257562,133.7672631,06017
2016,1.464332874,0.025921448,627.543569,127.3200331,06017
2017,1.367072469,0.017707249,440.863556,141.2044966,06017
2018,1.083644952,0.011101077,297.8794529,159.2222038,06017
2019,1.919308138,0.01911573,1263.735642,116.7614153,06017
2020,1.179691679,0.014975494,810.1544035,200.0225198,06017
2010,2.008426076,0.010079593,248.1692222,148.7845519,06019
2011,1.090056506,0.005513616,168.3116858,157.7514334,06019
2012,1.149472219,0.011498672,601.8683792,139.3040439,06019
2013,1.61056245,0.019979611,336.4655201,154.2640043,06019
2014,1.150677884,0.015559241,257.1255973,146.8767386,06019
2015,2.139414771,0.060323946,1157.4644,186.2697035,06019
2016,1.09613246,0.033268412,731.6698674,157.2975706,06019
2017,1.233460373,0.042690067,618.1102262,166.2496292,06019
2018,1.17059198,0.024132564,408.0982576,170.1296609,06019
2019,1.119441178,0.016740978,250.4786823,142.4362331,06019
2020,2.392753696,0.093966437,1712.765389,268.1202574,06019
2010,1.177992721,0.019674006,344.4655731,132.65884,06021
2011,1.032685966,0.013384445,356.1460608,133.5274146,06021
2012,1.023587406,0.018505749,495.4636383,147.0334871,06021
2013,1.0525719,0.019031514,278.8611999,124.8304991,06021
2014,1.086785298,0.020175248,378.92729,131.9697235,06021
2015,1.158872318,0.025190614,320.461956,145.0551684,06021
2016,1.065758434,0.016632221,456.222753,140.6549362,06021
2017,1.058176675,0.021497508,245.2876665,169.7426065,06021
2018,2.208770364,0.079117814,1014.368944,255.6669858,06021
2019,1.38441772,0.028629666,464.7681845,129.9787087,06021
2020,2.291782995,0.270447204,3134.020917,241.9261552,06021
2010,1.214285714,0.003437041,397.202381,144.8291679,06023
2011,1.034482759,0.002373195,552.7413793,137.681417,06023
2012,1,0.001800355,349.3181818,157.6717042,06023
2013,3.250862409,0.012696836,1076.457451,137.8108433,06023
2014,1,0.002290077,434.9851457,155.5285925,06023
2015,2.205854724,0.025175446,757.808906,198.1108299,06023
2016,1,0.003134094,240.2597788,142.208522,06023
2017,1,0.001391183,195.2941176,217.0477838,06023
2018,1.377250123,0.004581759,307.6427121,183.7479384,06023
2019,1,6.55e-4,91.875,135.4569782,06023
2020,3.450250468,0.028773268,1447.065737,226.2764543,06023
2010,1.075877602,0.011189344,1794.448522,140.6551693,06025
2011,1.065116669,0.013816934,1353.676157,153.8098452,06025
2012,1.029560648,0.007496351,1316.474477,151.8465736,06025
2013,1.102538514,0.004644267,1244.38137,157.7988177,06025
2014,1.032295023,0.004045231,541.7926244,153.7941116,06025
2015,1.068594486,0.004307382,741.337727,158.8957174,06025
2016,1,0.004664834,783.6305887,158.6563512,06025
2017,1.023198544,0.008116243,738.597648,157.2282587,06025
2018,1.117544021,0.006284085,1143.252731,165.6604174,06025
2019,1.037037037,0.003691545,649.3156387,152.3607953,06025
2020,1.517665831,0.002541558,488.0261731,162.2955895,06025
2010,1.26846192,7.69e-4,443.3765075,136.1340368,06027
2011,1.076086957,0.002979933,999.8369565,145.8982676,06027
2012,1.058823529,0.001101279,212.3382353,143.343949,06027
2013,1.027027027,0.001198451,798.6486486,147.6189015,06027
2014,0,0,0,142.0427773,06027
2015,0,0,0,155.0386671,06027
2016,1.105263158,0.001230842,640.0614035,146.3979014,06027
2017,1,6.48e-5,136,146.6653218,06027
2018,1.053571429,0.001813872,2046.678571,155.1339391,06027
2019,1.401869159,0.003465791,1547.628816,144.6339426,06027
2020,1.126315789,0.006154209,10702.58684,180.3263413,06027
2010,1.084148823,0.006573437,613.4929634,158.2264637,06029
2011,1.06741006,0.013251008,857.4703864,159.878211,06029
2012,1.019002906,0.008546551,1172.728435,145.8938626,06029
