GEOID,mean,year
6091,109.5394533,2010
6009,113.1562547,2010
6043,133.0372282,2010
6105,114.9349455,2010
6027,136.1340368,2010
6051,133.4666296,2010
6003,126.5781569,2010
6011,128.6867666,2010
6049,129.5054721,2010
6005,113.4378204,2010
6063,119.1660363,2010
6093,120.1305692,2010
6021,132.65884,2010
6029,158.2264637,2010
6007,132.7112156,2010
6033,113.6472722,2010
6015,149.8357486,2010
6025,140.6551693,2010
6023,144.8291679,2010
6053,134.993159,2010
6073,133.4777322,2010
6079,145.1541537,2010
6083,137.8449632,2010
6109,126.1437698,2010
6035,133.1407944,2010
6045,133.6249378,2010
6019,148.7845519,2010
6039,139.5843295,2010
6111,147.9706945,2010
6071,137.2227928,2010
6065,142.7900432,2010
6047,151.5909191,2010
6099,134.0517992,2010
6103,125.4107593,2010
6089,121.9424606,2010
6067,146.8631172,2010
6061,112.8322815,2010
6017,112.107009,2010
6113,132.0302972,2010
6057,104.4484099,2010
6115,126.179164,2010
6101,141.8037339,2010
6055,119.9668463,2010
6069,118.0474862,2010
6085,131.8689851,2010
6087,156.5258958,2010
6097,143.8572615,2010
6077,137.2670432,2010
6095,147.0941383,2010
6031,167.5008808,2010
6107,153.1849751,2010
6059,164.7923615,2010
6037,151.0013022,2010
6013,131.3436099,2010
6001,136.7280639,2010
6075,161.8723179,2010
6081,162.0996236,2010
6041,162.9007088,2010
6091,120.6779917,2011
6009,121.6142739,2011
6043,146.9068849,2011
6105,117.8136794,2011
6027,145.8982676,2011
6051,149.4966585,2011
6003,140.8463552,2011
6011,133.0772755,2011
6049,143.1529559,2011
6005,122.9907635,2011
6063,123.0536921,2011
6093,128.4368996,2011
6021,133.5274146,2011
6029,159.878211,2011
6007,136.6049975,2011
6033,112.8015713,2011
6015,144.2423227,2011
6025,153.8098452,2011
6023,137.681417,2011
6053,132.1875032,2011
6073,135.6051291,2011
6079,143.992628,2011
6083,137.6742726,2011
6109,140.3300591,2011
6035,140.3211801,2011
6045,126.4548504,2011
6019,157.7514334,2011
6039,152.9486236,2011
6111,149.5267018,2011
6071,145.2598236,2011
6065,152.4772246,2011
6047,159.0826447,2011
6099,139.4207849,2011
6103,127.4835463,2011
6089,124.5009146,2011
6067,148.2098224,2011
6061,121.8009835,2011
6017,122.8350723,2011
6113,132.630139,2011
6057,115.2066284,2011
6115,128.0649937,2011
6101,145.5532677,2011
6055,119.3420439,2011
